UserID,Time,TaskLoad,Engagement
004,1661806257.481,3.026,0.633
004,1661806257.981,1.678,0.613
004,1661806258.481,1.151,0.746
004,1661806258.981,1.25,0.592
004,1661806259.481,1.27,0.375
004,1661806259.981,2.239,0.412
004,1661806260.481,3.647,0.612
004,1661806260.981,1.954,0.305
004,1661806261.481,3.363,0.13
004,1661806261.981,3.246,0.288
004,1661806262.481,2.839,0.427
004,1661806262.981,2.325,0.445
004,1661806263.481,1.411,0.442
004,1661806263.982,2.462,0.516
004,1661806264.482,3.105,0.49
004,1661806264.982,0.734,1.314
004,1661806265.482,1.864,1.732
004,1661806265.982,0.894,0.989
004,1661806266.482,1.937,0.793
004,1661806266.982,1.85,0.922
004,1661806267.482,0.66,0.589
004,1661806267.982,0.777,0.967
004,1661806268.482,2.616,1.107
004,1661806268.982,1.473,1.029
004,1661806269.482,1.333,1.245
004,1661806269.982,3.93,0.95
004,1661806270.482,1.932,0.546
004,1661806270.982,1.277,0.85
004,1661806271.482,1.27,0.956
004,1661806271.982,0.996,0.611
004,1661806272.482,1.863,1.31
004,1661806272.982,2.498,0.765
004,1661806273.482,1.266,0.528
004,1661806273.983,1.499,0.46
004,1661806274.483,2.026,0.364
004,1661806274.983,1.095,0.495
004,1661806275.483,4.654,0.339
004,1661806275.983,0.74,0.463
004,1661806276.483,5.551,0.201
004,1661806276.983,2.596,0.669
004,1661806277.483,0.983,0.678
004,1661806277.983,0.794,0.515
004,1661806278.483,2.209,0.319
004,1661806278.983,0.784,0.598
004,1661806279.483,2.195,0.375
004,1661806279.983,2.368,0.44
004,1661806280.483,0.965,0.612
004,1661806280.983,2.174,0.465
004,1661806281.483,1.72,0.282
004,1661806281.983,2.529,0.387
004,1661806282.483,1.211,0.459
004,1661806282.983,1.723,0.452
004,1661806283.483,1.258,1.01
004,1661806283.984,1.592,0.471
004,1661806284.484,1.095,0.423
004,1661806284.984,3.02,0.369
004,1661806285.484,0.992,0.505
004,1661806285.984,3.437,0.285
004,1661806286.484,1.182,1.083
004,1661806286.984,1.644,1.1
004,1661806287.484,1.95,0.695
004,1661806287.984,2.516,0.497
004,1661806288.484,2.143,0.891
004,1661806288.984,1.868,0.741
004,1661806289.484,1.949,0.498
004,1661806289.984,5.931,0.913
004,1661806290.484,0.793,1.767
004,1661806290.984,0.575,2.746
004,1661806291.484,1.739,1.887
004,1661806291.984,1.377,1.965
004,1661806292.484,1.213,1.617
004,1661806292.984,1.155,0.842
004,1661806293.484,0.525,3.574
004,1661806293.985,0.724,0.946
004,1661806294.485,0.909,1.119
004,1661806294.985,2.237,0.311
004,1661806295.485,1.293,1.017
004,1661806295.985,3.026,0.372
004,1661806296.485,0.754,2.192
004,1661806296.985,0.547,1.211
004,1661806297.485,1.502,1.25
004,1661806297.985,2.173,0.445
004,1661806298.485,2.219,0.937
004,1661806298.985,5.288,0.135
004,1661806299.485,1.006,0.728
004,1661806299.985,1.142,1.012
004,1661806300.485,3.235,0.493
004,1661806300.985,0.685,1.362
004,1661806301.485,0.843,1.352
004,1661806301.985,2.07,1.096
004,1661806302.485,0.962,1.455
004,1661806302.985,1.142,1.114
004,1661806303.485,1.187,1.037
004,1661806303.986,10.215,0.286
004,1661806304.486,1.793,0.644
004,1661806304.986,1.519,0.636
004,1661806305.486,1.536,0.653
004,1661806305.986,1.252,0.63
004,1661806306.486,1.692,0.379
004,1661806306.986,3.119,0.32
004,1661806307.486,1.444,0.393
004,1661806307.986,1.654,0.399
004,1661806308.486,2.559,0.366
004,1661806308.986,1.607,0.525
004,1661806309.486,1.26,0.49
004,1661806309.986,1.842,0.555
004,1661806310.486,1.337,0.424
004,1661806310.986,1.493,0.491
004,1661806311.486,1.484,0.37
004,1661806311.986,3.648,0.407
004,1661806312.486,1.153,0.345
004,1661806312.986,1.717,0.499
004,1661806313.486,1.141,0.419
004,1661806313.987,1.816,0.239
004,1661806314.487,1.132,0.618
004,1661806314.987,1.751,0.413
004,1661806315.487,1.67,0.41
004,1661806315.987,1.809,0.445
004,1661806316.487,1.621,0.304
004,1661806316.987,2.901,0.54
004,1661806317.487,2.372,0.306
004,1661806317.987,4.781,0.3
004,1661806318.487,1.63,0.438
004,1661806318.987,1.328,0.474
004,1661806319.487,0.772,0.348
004,1661806319.987,1.379,0.34
004,1661806320.487,0.711,0.53
004,1661806320.987,0.692,0.579
004,1661806321.487,1.54,0.899
004,1661806321.987,1.918,0.413
004,1661806322.487,1.605,0.483
004,1661806322.987,0.933,0.654
004,1661806323.487,1.213,0.619
004,1661806323.988,1.485,0.873
004,1661806324.488,2.57,0.808
004,1661806324.988,1.136,0.69
004,1661806325.488,2.515,0.611
004,1661806325.988,1.182,0.903
004,1661806326.488,1.425,0.566
004,1661806326.988,1.562,0.803
004,1661806327.488,1.423,0.591
004,1661806327.988,0.927,0.809
004,1661806328.488,2.355,1.022
004,1661806328.988,3.787,0.87
004,1661806329.488,1.593,0.594
004,1661806329.988,1.183,0.348
004,1661806330.488,1.252,0.333
004,1661806330.988,4.018,0.821
004,1661806331.488,2.034,0.382
004,1661806331.988,1.22,0.413
004,1661806332.488,2.032,0.556
004,1661806332.988,5.245,0.363
004,1661806333.488,1.374,0.432
004,1661806333.989,2.178,1.091
004,1661806334.489,1.108,0.964
004,1661806334.989,1.598,0.57
004,1661806335.489,0.765,0.496
004,1661806335.989,2.317,0.602
004,1661806336.489,0.941,0.667
004,1661806336.989,1.323,0.387
004,1661806337.489,0.738,0.684
004,1661806337.989,1.22,0.569
004,1661806338.489,0.991,0.346
004,1661806338.989,5.274,0.231
004,1661806339.489,1.432,0.478
004,1661806339.989,2.685,0.481
004,1661806340.489,1.26,0.405
004,1661806340.989,1.357,0.277
004,1661806341.489,1.563,0.433
004,1661806341.989,2.941,0.567
004,1661806342.489,1.693,0.405
004,1661806342.989,1.743,0.275
004,1661806343.489,1.775,0.279
004,1661806343.990,1.67,0.285
004,1661806344.490,2.118,0.331
004,1661806344.990,1.282,0.413
004,1661806345.490,1.567,0.516
004,1661806345.990,1.267,0.514
004,1661806346.490,2.037,0.414
004,1661806346.990,1.595,0.403
004,1661806347.490,2.04,0.537
004,1661806347.990,1.895,0.412
004,1661806348.490,1.556,0.465
004,1661806348.990,1.188,0.552
004,1661806349.490,0.945,0.475
004,1661806349.990,3.152,0.299
004,1661806350.490,1.374,0.507
004,1661806350.990,3.818,0.312
004,1661806351.490,3.929,0.247
004,1661806351.990,2.154,0.478
004,1661806352.490,2.038,0.446
004,1661806352.990,1.333,0.418
004,1661806353.491,1.919,0.528
004,1661806353.991,2.317,0.572
004,1661806354.491,2.05,0.506
004,1661806354.991,1.071,0.705
004,1661806355.491,1.115,0.513
004,1661806355.991,1.99,0.516
004,1661806356.491,1.372,0.492
004,1661806356.991,1.278,0.511
004,1661806357.491,1.099,0.574
