Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652459278.9739063,1.1907566373,1873.3804229277,6.6607558386,0.2935946883,0.0414309849,-0.0610304276,-0.0097997213,0.5648631049
1652459279.9739063,1.6032068784,1285.1399025757,5.7504486267,0.0685634128,0.0414309849,0.0120189987,0.0267249918,0.8076129386
1652459280.9739063,1.4921837701,696.8993822237,4.8401414148,-0.1564678626,0.0414309849,0.0461864125,0.0438086987,0.7691850913
1652459281.9739063,0.9633980187,265.3056980036,4.1715567632,-0.2187002707,0.0414309849,0.0223584628,0.0318947238,0.4928782407
1652459282.9739063,-0.2094380492,470.5412362414,0.9676171178,-0.4689793737,0.0414309849,-0.1144403587,-0.0365046869,-0.161939204
1652459283.9739063,0.3055159483,285.6758379128,9.3781195584,-0.3398032734,0.0414309849,0.0536199029,0.0475254439,0.1795679256
1652459284.9739063,-0.0376360249,321.2431343044,13.6998409743,0.2409142701,0.0414309849,0.005065705,0.023248345,-0.01628516
1652459285.9739063,0.1119997841,91.0535718127,34.6372476307,-0.3712301258,0.0414309849,0.0137974635,0.0276142242,0.0628986238
1652459286.9739063,-0.2932617422,504.7995106452,88.426598991,-0.0548552316,0.0549741124,-0.0845446176,-0.0147852526,-0.1889031799
1652459287.9739063,-0.8127205853,2306.5425292843,615.0039231981,0.9819683109,0.2098257319,-0.0853746449,0.0622255435,-0.4490476151
1652459288.9739063,0.1960630645,3429.1571668869,1022.5418547149,1.2258776748,0.3325897897,1.4160992652,0.8743445275,0.8060811648
1652459289.9739063,0.0631680315,3306.6816067484,1397.6102426605,-0.365772691,0.2200183599,0.9636184821,0.591818421,0.5133932568
1652459290.9739063,0.3993171332,3317.1735897392,1421.7192379206,-0.3964574184,0.2114724747,-0.9414062442,-0.3649668847,-0.2710445555
1652459291.9739063,0.9677457995,3399.7897788765,1145.0009797464,0.3147342399,0.2114724747,-0.7884591975,-0.2884933614,0.089643301
1652459292.9739063,1.0198676125,3272.4043990596,428.8622538981,2.1112884629,0.2069485668,-0.3261613403,-0.0596063867,0.3468531361
1652459293.9739063,-0.0322004124,1096.3010367942,67.3154393092,1.2042087491,0.0831514687,-0.2223627649,-0.0696056481,-0.1272815886
1652459294.9739063,0.4073007917,417.2377843458,19.4576539818,-0.2010471667,0.0414309849,-0.1420046194,-0.0502868173,0.1326480862
1652459295.9739063,0.699609431,429.0249167451,16.3934436768,-0.271216636,0.0414309849,-0.0247606154,0.0083351848,0.3374244078
1652459296.9739063,0.5722420779,137.7809935027,778.8861181303,0.7430904863,0.0414309849,0.0631324619,0.0522817234,0.3176872699
1652459297.9739063,0.5821016272,196.4139380293,1423.0029519564,-0.3943204953,-0.1277079728,1.6033011172,0.7377965722,1.0927013722
1652459298.9739063,1.0157989047,250.4223043883,1433.8734494638,-0.4474829218,-0.0805105743,1.7445128926,0.8320011591,1.3801558987
1652459299.9739063,0.8857158867,1156.3945745242,611.4938877065,0.7388550557,0.0414309849,1.9672448543,1.0043379196,1.4264803705
1652459300.9739063,0.756960386,2697.2366311471,810.6427564145,0.2332954353,0.0414309849,0.7345507294,0.3879908572,0.7457555577
1652459301.9739063,0.9705986619,3327.9992120626,1414.6151474701,-0.3659146278,0.0414309849,-2.1053384409,-1.031953728,-0.5673698895
1652459302.9739063,1.1003537941,2919.2958116835,1271.2030634014,-0.3084985232,0.0414309849,-0.2102530567,-0.0844110359,0.4450503687
1652459303.9739063,0.1839817812,2325.5529805755,908.4574643458,0.0585629349,0.0414309849,1.4438114161,0.7426212005,0.8138965987
1652459304.9739063,-0.5142968358,1789.761678285,634.2344666969,0.3097326522,0.0046875543,-0.500787291,-0.2480498684,-0.5075420634
1652459305.9739063,0.058596543,2849.7161105308,1246.1175694322,0.1902281948,-0.2644996571,-1.7844647738,-1.0244822155,-0.8629341154
1652459306.9739063,-0.6966645671,2677.7898092411,1279.8013433368,4.3871192771,-0.1636187887,-0.8633788278,-0.5134988083,-0.7800216974
1652459307.9739063,0.4901111335,3124.892015865,229.3731190986,-0.0274956019,0.0414055413,-0.3884229318,-0.1735086953,0.0508441008
